,datetime,mrid,rssi,port,value,units,error,description
0,2024-02-26 12:00:00+00:00,5277,58,2,0.14863464395259163, m³/m³,False,Water Content
0,2024-02-26 13:00:00+00:00,5278,58,2,0.1486908648778975, m³/m³,False,Water Content
0,2024-02-26 14:00:00+00:00,5279,58,2,0.14863464395259163, m³/m³,False,Water Content
0,2024-02-26 15:00:00+00:00,5280,58,2,0.1485502869911035, m³/m³,False,Water Content
0,2024-02-26 16:00:00+00:00,5281,58,2,0.14843776325433122, m³/m³,False,Water Content
0,2024-02-26 17:00:00+00:00,5282,61,2,0.14826887508859365, m³/m³,False,Water Content
0,2024-02-26 18:00:00+00:00,5283,61,2,0.14807168303273088, m³/m³,False,Water Content
0,2024-02-26 19:00:00+00:00,5284,61,2,0.1479025273749648, m³/m³,False,Water Content
0,2024-02-26 20:00:00+00:00,5285,61,2,0.14767679376280007, m³/m³,False,Water Content
0,2024-02-26 21:00:00+00:00,5286,61,2,0.14767679376280007, m³/m³,False,Water Content
0,2024-02-26 22:00:00+00:00,5287,61,2,0.1479025273749648, m³/m³,False,Water Content
0,2024-02-26 23:00:00+00:00,5288,61,2,0.15023163342802914, m³/m³,False,Water Content
0,2024-02-27 00:00:00+00:00,5289,61,2,0.1527035600127118, m³/m³,False,Water Content
0,2024-02-27 01:00:00+00:00,5290,61,2,0.15347590950223822, m³/m³,False,Water Content
0,2024-02-27 02:00:00+00:00,5291,61,2,0.15421829978480783, m³/m³,False,Water Content
0,2024-02-27 03:00:00+00:00,5292,61,2,0.1550678290791554, m³/m³,False,Water Content
0,2024-02-27 04:00:00+00:00,5293,61,2,0.15580529088974981, m³/m³,False,Water Content
0,2024-02-27 05:00:00+00:00,5294,58,2,0.15632289126665055, m³/m³,False,Water Content
0,2024-02-27 06:00:00+00:00,5295,58,2,0.15694797681817652, m³/m³,False,Water Content
0,2024-02-27 07:00:00+00:00,5296,58,2,0.15765265648579962, m³/m³,False,Water Content
0,2024-02-27 08:00:00+00:00,5297,58,2,0.1583822834664017, m³/m³,False,Water Content
0,2024-02-27 09:00:00+00:00,5298,58,2,0.1591904327079101, m³/m³,False,Water Content
0,2024-02-27 10:00:00+00:00,5299,58,2,0.1601835041560753, m³/m³,False,Water Content
0,2024-02-27 11:00:00+00:00,5300,58,2,0.16130596756130688, m³/m³,False,Water Content
0,2024-02-27 12:00:00+00:00,5301,58,2,0.16247649356546257, m³/m³,False,Water Content
0,2024-02-27 13:00:00+00:00,5302,58,2,0.16345660650886118, m³/m³,False,Water Content
0,2024-02-27 14:00:00+00:00,5303,58,2,0.16443295401748692, m³/m³,False,Water Content
0,2024-02-27 15:00:00+00:00,5304,58,2,0.16524812055752647, m³/m³,False,Water Content
0,2024-02-27 16:00:00+00:00,5305,58,2,0.16592983003746098, m³/m³,False,Water Content
0,2024-02-27 17:00:00+00:00,5306,58,2,0.16658363880268445, m³/m³,False,Water Content
0,2024-02-27 18:00:00+00:00,5307,58,2,0.16718370370700075, m³/m³,False,Water Content
0,2024-02-27 19:00:00+00:00,5308,58,2,0.1676263524242898, m³/m³,False,Water Content
0,2024-02-27 20:00:00+00:00,5309,58,2,0.16809423368462784, m³/m³,False,Water Content
0,2024-02-27 21:00:00+00:00,5310,58,2,0.16856129324353586, m³/m³,False,Water Content
0,2024-02-27 22:00:00+00:00,5311,58,2,0.16905341691636466, m³/m³,False,Water Content
0,2024-02-27 23:00:00+00:00,5312,58,2,0.16946713894805554, m³/m³,False,Water Content
0,2024-02-28 00:00:00+00:00,5313,58,2,0.1698544285372059, m³/m³,False,Water Content
0,2024-02-28 01:00:00+00:00,5314,58,2,0.17026692900166962, m³/m³,False,Water Content
0,2024-02-28 02:00:00+00:00,5315,58,2,0.17065308210136165, m³/m³,False,Water Content
0,2024-02-28 03:00:00+00:00,5316,58,2,0.1709873082247404, m³/m³,False,Water Content
0,2024-02-28 04:00:00+00:00,5317,58,2,0.17142376144990257, m³/m³,False,Water Content
0,2024-02-28 05:00:00+00:00,5318,58,2,0.17191074847425436, m³/m³,False,Water Content
0,2024-02-28 06:00:00+00:00,5319,58,2,0.17229461050443007, m³/m³,False,Water Content
0,2024-02-28 07:00:00+00:00,5320,58,2,0.1727800808681117, m³/m³,False,Water Content
0,2024-02-28 08:00:00+00:00,5321,58,2,0.17851786293818872, m³/m³,False,Water Content
0,2024-02-28 09:00:00+00:00,5322,58,2,0.2027103152624925, m³/m³,False,Water Content
0,2024-02-28 10:00:00+00:00,5323,58,2,0.2087281460872501, m³/m³,False,Water Content
0,2024-02-28 11:00:00+00:00,5324,58,2,0.21237723244905338, m³/m³,False,Water Content
0,2024-02-28 12:00:00+00:00,5325,58,2,0.21492184983487417, m³/m³,False,Water Content
0,2024-02-28 13:00:00+00:00,5326,58,2,0.21671790111583222, m³/m³,False,Water Content
0,2024-02-28 14:00:00+00:00,5327,58,2,0.2180936401293876, m³/m³,False,Water Content
0,2024-02-28 15:00:00+00:00,5328,58,2,0.21900294469354886, m³/m³,False,Water Content
0,2024-02-28 16:00:00+00:00,5329,58,2,0.21967910236479016, m³/m³,False,Water Content
0,2024-02-28 17:00:00+00:00,5330,55,2,0.22019207457038514, m³/m³,False,Water Content
0,2024-02-28 18:00:00+00:00,5331,55,2,0.22058848606155124, m³/m³,False,Water Content
0,2024-02-28 19:00:00+00:00,5332,55,2,0.22091496285746004, m³/m³,False,Water Content
0,2024-02-28 20:00:00+00:00,5333,55,2,0.22128810617240324, m³/m³,False,Water Content
0,2024-02-28 21:00:00+00:00,5334,55,2,0.22159130957628892, m³/m³,False,Water Content
0,2024-02-28 22:00:00+00:00,5335,55,2,0.22187121158898648, m³/m³,False,Water Content
0,2024-02-28 23:00:00+00:00,5336,55,2,0.22217446503902427, m³/m³,False,Water Content
0,2024-02-29 00:00:00+00:00,5337,55,2,0.22259440437792843, m³/m³,False,Water Content
0,2024-02-29 01:00:00+00:00,5338,55,2,0.22350450333896643, m³/m³,False,Water Content
0,2024-02-29 02:00:00+00:00,5339,55,2,0.22436827535580273, m³/m³,False,Water Content
0,2024-02-29 03:00:00+00:00,5340,55,2,0.2250922802429225, m³/m³,False,Water Content
0,2024-02-29 04:00:00+00:00,5341,55,2,0.22579323025282605, m³/m³,False,Water Content
0,2024-02-29 05:00:00+00:00,5342,55,2,0.22628408863177896, m³/m³,False,Water Content
0,2024-02-29 06:00:00+00:00,5343,55,2,0.22661142245146038, m³/m³,False,Water Content
0,2024-02-29 07:00:00+00:00,5344,55,2,0.22712596667127083, m³/m³,False,Water Content
0,2024-02-29 08:00:00+00:00,5345,55,2,0.227687527529695, m³/m³,False,Water Content
0,2024-02-29 09:00:00+00:00,5346,55,2,0.2283196029997936, m³/m³,False,Water Content
0,2024-02-29 10:00:00+00:00,5347,55,2,0.22892860942318638, m³/m³,False,Water Content
0,2024-02-29 11:00:00+00:00,5348,55,2,0.22953797212677163, m³/m³,False,Water Content
0,2024-02-29 12:00:00+00:00,5349,55,2,0.23000696847896318, m³/m³,False,Water Content
0,2024-02-29 13:00:00+00:00,5350,55,2,0.2304527307756139, m³/m³,False,Water Content
0,2024-02-29 14:00:00+00:00,5351,55,2,0.23085175584394513, m³/m³,False,Water Content
0,2024-02-29 15:00:00+00:00,5352,55,2,0.23111004462178286, m³/m³,False,Water Content
0,2024-02-29 16:00:00+00:00,5353,55,2,0.2313684108014451, m³/m³,False,Water Content
0,2024-02-29 17:00:00+00:00,5354,52,2,0.23146238164495347, m³/m³,False,Water Content
0,2024-02-29 18:00:00+00:00,5355,52,2,0.23148587599743298, m³/m³,False,Water Content
0,2024-02-29 19:00:00+00:00,5356,52,2,0.23146238164495347, m³/m³,False,Water Content
0,2024-02-29 20:00:00+00:00,5357,52,2,0.23146238164495347, m³/m³,False,Water Content
0,2024-02-29 21:00:00+00:00,5358,52,2,0.23157986001010933, m³/m³,False,Water Content
0,2024-02-29 22:00:00+00:00,5359,52,2,0.23157986001010933, m³/m³,False,Water Content
0,2024-02-29 23:00:00+00:00,5360,52,2,0.23157986001010933, m³/m³,False,Water Content
0,2024-03-01 00:00:00+00:00,5361,52,2,0.23162685599505473, m³/m³,False,Water Content
0,2024-03-01 01:00:00+00:00,5362,52,2,0.23167385464532364, m³/m³,False,Water Content
0,2024-03-01 02:00:00+00:00,5363,52,2,0.2316973549729826, m³/m³,False,Water Content
0,2024-03-01 03:00:00+00:00,5364,52,2,0.23167385464532364, m³/m³,False,Water Content
0,2024-03-01 04:00:00+00:00,5365,52,2,0.2316973549729826, m³/m³,False,Water Content
0,2024-03-01 05:00:00+00:00,5366,55,2,0.2316973549729826, m³/m³,False,Water Content
0,2024-03-01 06:00:00+00:00,5367,55,2,0.2316973549729826, m³/m³,False,Water Content
0,2024-03-01 07:00:00+00:00,5368,55,2,0.2316973549729826, m³/m³,False,Water Content
0,2024-03-01 08:00:00+00:00,5369,55,2,0.2317443576394087, m³/m³,False,Water Content
0,2024-03-01 09:00:00+00:00,5370,55,2,0.2318383710505958, m³/m³,False,Water Content
0,2024-03-01 10:00:00+00:00,5371,55,2,0.2320029206402392, m³/m³,False,Water Content
0,2024-03-01 11:00:00+00:00,5372,55,2,0.2324026817808167, m³/m³,False,Water Content
0,2024-03-01 12:00:00+00:00,5373,55,2,0.2327320498422898, m³/m³,False,Water Content
0,2024-03-01 13:00:00+00:00,5374,55,2,0.23296739934052813, m³/m³,False,Water Content
0,2024-03-01 14:00:00+00:00,5375,55,2,0.2332028223757998, m³/m³,False,Water Content
0,2024-03-01 15:00:00+00:00,5376,55,2,0.23343832015931465, m³/m³,False,Water Content
0,2024-03-01 16:00:00+00:00,5377,55,2,0.23355609746016714, m³/m³,False,Water Content
0,2024-03-01 17:00:00+00:00,5378,52,2,0.23357965521244495, m³/m³,False,Water Content
0,2024-03-01 18:00:00+00:00,5379,52,2,0.2335325404735391, m³/m³,False,Water Content
0,2024-03-01 19:00:00+00:00,5380,52,2,0.23336766290362831, m³/m³,False,Water Content
0,2024-03-01 20:00:00+00:00,5381,52,2,0.23315573182764515, m³/m³,False,Water Content
0,2024-03-01 21:00:00+00:00,5382,52,2,0.23294386110152354, m³/m³,False,Water Content
0,2024-03-01 22:00:00+00:00,5383,52,2,0.23275558151746711, m³/m³,False,Water Content
0,2024-03-01 23:00:00+00:00,5384,52,2,0.23261440229105235, m³/m³,False,Water Content
0,2024-03-02 00:00:00+00:00,5385,52,2,0.23247324888391274, m³/m³,False,Water Content
0,2024-03-02 01:00:00+00:00,5386,52,2,0.23237916082733356, m³/m³,False,Water Content
0,2024-03-02 02:00:00+00:00,5387,52,2,0.23233212103442957, m³/m³,False,Water Content
0,2024-03-02 03:00:00+00:00,5388,52,2,0.23219101848097745, m³/m³,False,Water Content
0,2024-03-02 04:00:00+00:00,5389,52,2,0.23216750382970153, m³/m³,False,Water Content
0,2024-03-02 05:00:00+00:00,5390,55,2,0.23195590306138492, m³/m³,False,Water Content
0,2024-03-02 06:00:00+00:00,5391,55,2,0.23188538181473684, m³/m³,False,Water Content
0,2024-03-02 07:00:00+00:00,5392,55,2,0.23172085597060788, m³/m³,False,Water Content
0,2024-03-02 08:00:00+00:00,5393,55,2,0.23157986001010933, m³/m³,False,Water Content
0,2024-03-02 09:00:00+00:00,5394,55,2,0.23146238164495347, m³/m³,False,Water Content
0,2024-03-02 10:00:00+00:00,5395,55,2,0.23132142930258093, m³/m³,False,Water Content
0,2024-03-02 11:00:00+00:00,5396,55,2,0.2314388879503242, m³/m³,False,Water Content
0,2024-03-02 12:00:00+00:00,5397,55,2,0.23155636301410576, m³/m³,False,Water Content
0,2024-03-02 13:00:00+00:00,5398,55,2,0.23150937100897861, m³/m³,False,Water Content
0,2024-03-02 14:00:00+00:00,5399,55,2,0.23148587599743298, m³/m³,False,Water Content
0,2024-03-02 15:00:00+00:00,5400,55,2,0.23165035498641728, m³/m³,False,Water Content
0,2024-03-02 16:00:00+00:00,5401,55,2,0.2316973549729826, m³/m³,False,Water Content
0,2024-03-02 17:00:00+00:00,5402,52,2,0.2317443576394087, m³/m³,False,Water Content
0,2024-03-02 18:00:00+00:00,5403,52,2,0.23167385464532364, m³/m³,False,Water Content
0,2024-03-02 19:00:00+00:00,5404,52,2,0.23148587599743298, m³/m³,False,Water Content
