,datetime,mrid,rssi,port,value,units,error,description
0,2024-02-26 11:30:00+00:00,20527,39,2,0.03305741003152274, m³/m³,False,Water Content
0,2024-02-26 11:45:00+00:00,20528,39,2,0.03328468727827483, m³/m³,False,Water Content
0,2024-02-26 12:00:00+00:00,20529,39,2,0.033557178414296396, m³/m³,False,Water Content
0,2024-02-26 12:15:00+00:00,20530,39,2,0.03373869289271625, m³/m³,False,Water Content
0,2024-02-26 12:30:00+00:00,20531,39,2,0.03392009043843203, m³/m³,False,Water Content
0,2024-02-26 12:45:00+00:00,20532,39,2,0.03410137112895972, m³/m³,False,Water Content
0,2024-02-26 13:00:00+00:00,20533,39,2,0.03423725500727082, m³/m³,False,Water Content
0,2024-02-26 13:15:00+00:00,20534,39,2,0.03446358225452384, m³/m³,False,Water Content
0,2024-02-26 13:30:00+00:00,20535,39,2,0.03468972727891151, m³/m³,False,Water Content
0,2024-02-26 13:45:00+00:00,20536,35,2,0.03491569023183416, m³/m³,False,Water Content
0,2024-02-26 14:00:00+00:00,20537,35,2,0.035006024466906704, m³/m³,False,Water Content
0,2024-02-26 14:15:00+00:00,20538,39,2,0.03523173277413394, m³/m³,False,Water Content
0,2024-02-26 14:30:00+00:00,20539,39,2,0.035412168582815595, m³/m³,False,Water Content
0,2024-02-26 14:45:00+00:00,20540,39,2,0.03545725937325972, m³/m³,False,Water Content
0,2024-02-26 15:00:00+00:00,20541,39,2,0.03559248817583072, m³/m³,False,Water Content
0,2024-02-26 15:15:00+00:00,20542,39,2,0.035637549924470324, m³/m³,False,Water Content
0,2024-02-26 15:30:00+00:00,20543,39,2,0.03581772435691033, m³/m³,False,Water Content
0,2024-02-26 15:45:00+00:00,20544,32,2,0.03581772435691033, m³/m³,False,Water Content
0,2024-02-26 16:00:00+00:00,20545,32,2,0.03581772435691033, m³/m³,False,Water Content
0,2024-02-26 16:15:00+00:00,20546,26,2,0.0358627498305466, m³/m³,False,Water Content
0,2024-02-26 16:30:00+00:00,20547,26,2,0.0358627498305466, m³/m³,False,Water Content
0,2024-02-26 16:45:00+00:00,20548,26,2,0.0358627498305466, m³/m³,False,Water Content
0,2024-02-26 17:00:00+00:00,20549,26,2,0.03581772435691033, m³/m³,False,Water Content
0,2024-02-26 17:15:00+00:00,20550,29,2,0.03577269163069541, m³/m³,False,Water Content
0,2024-02-26 17:30:00+00:00,20551,29,2,0.035637549924470324, m³/m³,False,Water Content
0,2024-02-26 17:45:00+00:00,20552,29,2,0.03550234290143639, m³/m³,False,Water Content
0,2024-02-26 18:00:00+00:00,20553,29,2,0.03545725937325972, m³/m³,False,Water Content
0,2024-02-26 18:15:00+00:00,20554,29,2,0.03532196521027786, m³/m³,False,Water Content
0,2024-02-26 18:30:00+00:00,20555,39,2,0.035186605654181635, m³/m³,False,Water Content
0,2024-02-26 18:45:00+00:00,20556,39,2,0.03505118067226787, m³/m³,False,Water Content
0,2024-02-26 19:00:00+00:00,20557,39,2,0.034960860987166775, m³/m³,False,Water Content
0,2024-02-26 19:15:00+00:00,20558,39,2,0.03482532688955153, m³/m³,False,Water Content
0,2024-02-26 19:30:00+00:00,20559,39,2,0.03464451284459624, m³/m³,False,Water Content
0,2024-02-26 19:45:00+00:00,20560,29,2,0.03450882583238635, m³/m³,False,Water Content
0,2024-02-26 20:00:00+00:00,20561,29,2,0.03437307323084515, m³/m³,False,Water Content
0,2024-02-26 20:15:00+00:00,20562,26,2,0.034191967677752344, m³/m³,False,Water Content
0,2024-02-26 20:30:00+00:00,20563,26,2,0.03410137112895972, m³/m³,False,Water Content
0,2024-02-26 20:45:00+00:00,20564,26,2,0.033965421563209475, m³/m³,False,Water Content
0,2024-02-26 21:00:00+00:00,20565,26,2,0.03378405323855771, m³/m³,False,Water Content
0,2024-02-26 21:15:00+00:00,20566,26,2,0.03364795027493983, m³/m³,False,Water Content
0,2024-02-26 21:30:00+00:00,20567,26,2,0.033557178414296396, m³/m³,False,Water Content
0,2024-02-26 21:45:00+00:00,20568,26,2,0.03337554692565314, m³/m³,False,Water Content
0,2024-02-26 22:00:00+00:00,20569,26,2,0.03323924647458065, m³/m³,False,Water Content
0,2024-02-26 22:15:00+00:00,20570,26,2,0.03310288012895224, m³/m³,False,Water Content
0,2024-02-26 22:30:00+00:00,20571,26,2,0.03296644785606373, m³/m³,False,Water Content
0,2024-02-26 22:45:00+00:00,20572,35,2,0.03282994962321395, m³/m³,False,Water Content
0,2024-02-26 23:00:00+00:00,20573,35,2,0.032738914140740816, m³/m³,False,Water Content
0,2024-02-26 23:15:00+00:00,20574,35,2,0.03264784931850473, m³/m³,False,Water Content
